ncalls           , tottime, percall, cumtime , percall, filename:lineno(function)
5585             , 0.054  , 0.000  , 0.054   , 0.000  , {method 'permute' of 'torch._C._TensorBase' objects}
5585             , 0.145  , 0.000  , 0.145   , 0.000  , {method 'sub_' of 'torch._C._TensorBase' objects}
296005           , 1.180  , 0.000  , 1.180   , 0.000  , {method 'view' of 'torch._C._TensorBase' objects}
2                , 0.000  , 0.000  , 0.000   , 0.000  , {built-in method torch._C._jit_get_operation}
1150510          , 0.991  , 0.000  , 0.991   , 0.000  , {built-in method torch._C._get_tracing_state}
5585             , 0.175  , 0.000  , 0.175   , 0.000  , {built-in method from_buffer}
11170            , 0.056  , 0.000  , 0.056   , 0.000  , {built-in method torch._ops.profiler._record_function_exit}
11170            , 0.174  , 0.000  , 0.174   , 0.000  , {built-in method torch._ops.profiler._record_function_enter}
1                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/JpegPresets.py:71(<module>)
5                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:614(decorator)
5                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:613(_register_loader)
5                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:625(decorator)
5                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:624(_register_writer)
7                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:631(_register_basic)
1                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/JpegImagePlugin.py:333(JpegImageFile)
38               , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/JpegImagePlugin.py:618(<listcomp>)
38               , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/JpegImagePlugin.py:656(validate_qtables)
38               , 0.001  , 0.000  , 0.376   , 0.010  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/JpegImagePlugin.py:609(_save)
1                , 0.000  , 0.000  , 0.001   , 0.001  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/JpegImagePlugin.py:34(<module>)
1                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:128(<dictcomp>)
26               , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:357(_delegate)
1                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:287(IFDRational)
1                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:1641(AppendingTiffWriter)
1                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:41(<module>)
1                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:975(TiffImageFile)
1                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:399(ImageFileDirectory_v2)
1                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/TiffImagePlugin.py:880(ImageFileDirectory_v1)
1                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/PpmImagePlugin.py:47(PpmImageFile)
1                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/PpmImagePlugin.py:18(<module>)
1                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/GifImagePlugin.py:27(<module>)
1                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/GifImagePlugin.py:48(GifImageFile)
1                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/BmpImagePlugin.py:56(BmpImageFile)
1                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/BmpImagePlugin.py:277(DibImageFile)
1                , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/PIL/BmpImagePlugin.py:27(<module>)
5585             , 0.036  , 0.000  , 0.042   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/visualizer/cif.py:45(predicted)
5585             , 0.003  , 0.000  , 0.003   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/visualizer/cif.py:52(_confidences)
5585             , 0.003  , 0.000  , 0.003   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/visualizer/cif.py:64(_regressions)
5585             , 0.004  , 0.000  , 0.004   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/visualizer/cifhr.py:17(predicted)
5585             , 0.023  , 0.000  , 0.028   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/visualizer/caf.py:44(predicted)
